Sl No	Question	Answer	Reference
19636	Who should praise Yahweh?	Everything that has breath should praise Yahweh. 	Psalms 150:6
19637	What does David ask God to do for him?	David wants God to protect him because he takes refuge in God. 	Psalms 16:1
19638	What does David recognize about his relationship to Yahweh?	David recognizes that Yahweh is his Lord, and that David's goodness is nothing apart from Yahweh. 	Psalms 16:2
19639	Who are the saints on the earth?	They are the noble people in whom David delights. 	Psalms 16:3
19640	What will happen to those who seek out other gods?	Trouble will be increased to those who seek out other gods. 	Psalms 16:4-5
19641	What does David recognize that Yahweh does for him?	Yahweh holds David's destiny, gives him pleasant places, and a pleasing inheritance. 	Psalms 16:6
19642	Why does David bless Yahweh?	David blesses Yahweh because Yahweh counsels him. 	Psalms 16:7
19643	Why does David bless Yahweh?	David blesses Yahweh because Yahweh counsels him. 	Psalms 16:8
19644	How does David's heart respond to Yahweh?	David's heart is glad, and will exalt in Yahweh. 	Psalms 16:9
19645	What will Yahweh not allow to happen to the one who has covenant faithfulness?	Yahweh will not let him see the pit. 	Psalms 16:10
19646	What benefits does David get from Yahweh?	Yahweh teaches David the path of life, gives him joy, and delights that comes from abiding in Yahweh's right hand forever. 	Psalms 16:11
19647	What does David ask God to do for him?	David asks Yahweh to listen to his plea for justice, pay attention to his call for help, and give ear to his prayer. 	Psalms 17:1
19648	What does David pray will come from Yahweh's presence?	David prays that his vindication will come from Yahweh's presence. 	Psalms 17:2
19649	What will happen to David if Yahweh comes to him in the night?	Yahweh will purify him and not find any evil plans or transgressions in his mouth. 	Psalms 17:3
19650	How has David kept himself from the ways of the lawless?	It is at the word of Yahweh's lips that David has kept himself from lawless ways. 	Psalms 17:4-5
19651	Why does David call on God?	David calls on God because God answers him. 	Psalms 17:6
19652	What does David ask God to show him?	He asks God to show his covenant faithfulness to him in a wonderful way. 	Psalms 17:7
19653	How does David describe the way God protects him from the wicked enemies who assault him?	God will protect David like the apple of God's eye by hiding David under the shadow of God's wings. 	Psalms 17:8
19654	How does David describe the way God protects him from the wicked enemies who assault him?	God will protect David like the apple of God's eye by hiding David under the shadow of God's wings. 	Psalms 17:9
19655	How does David describe his enemies?	He says his enemies have no mercy on anyone, and their mouths speak with pride. 	Psalms 17:10
19656	What have David's enemies done to him?	They have surrounded his steps and set their eyes to strike him to the ground. 	Psalms 17:11-12
19657	What does David ask Yahweh to do to his enemies?	He asks Yahweh to arise, attack his enemies, and throw them down on their faces. 	Psalms 17:13
19658	From whom is David asking Yahweh to rescue his him by his hand?	He is asking Yahweh to rescue him from men of this world whose prosperity is in this life alone. 	Psalms 17:14
19659	What does David expect to happen when he sees Yahweh's face in righteousness ?	He will be satisfied with a sight of Yahweh. 	Psalms 17:15
19660	What emotion does David express toward Yahweh?	He says, "I love you." 	Psalms 18:1-2
19661	What will happen when David calls on Yahweh?	David will be saved from his enemies. 	Psalms 18:3-5
19662	Where was Yahweh when he heard David's voice?	Yahweh heard David's voice from his temple. 	Psalms 18:6
19663	Why were the foundations of the mountains shaken?	They were shaken because God was angry. 	Psalms 18:7-8
19664	How did Yahweh come down from the heavens?	He rode on a cherub and flew; he glided on the wings of the wind. 	Psalms 18:9-13
19665	How did Yahweh scatter his enemies?	He shot his arrows and scattered them. 	Psalms 18:14
19666	What exposed the foundations of the world?	Yahweh's battle cry and the blast of the breath of his nostrils. 	Psalms 18:15
19667	Out of what did Yahweh pull David?	He pulled David out of the surging water. 	Psalms 18:16-18
19668	Why did Yahweh save David?	Yahweh saved David because Yahweh was pleased with him. 	Psalms 18:19-26
19669	What does Yahweh do to afflicted people?	He saves afflicted people. 	Psalms 18:27-29
19670	How does David describe Yahweh's way?	He says Yahweh's way is perfect. 	Psalms 18:30-36
19671	What did David do to his enemies?	David pursued his enemies and caught them. 	Psalms 18:37-40
19672	What happened when David's enemies called to Yahweh?	Yahweh did not answer them. 	Psalms 18:41-42
19673	Over what has Yahweh made David the head?	Yahweh made David the head over nations. 	Psalms 18:43-47
19674	From whom is David set free?	He is set free from his enemies. 	Psalms 18:48-49
19675	To whom does Yahweh show his covenant loyalty?	He shows his covenant loyalty to his anointed one, to David and to his descendants forever. 	Psalms 18:50
19676	What do the heavens declare and the skies make known?	The heavens declare God's glory and the skies make his handiwork known. 	Psalms 19:1
19677	What does the speech that pours out reveal?	The speech that pours out reveals knowledge. 	Psalms 19:2-3
19678	Where do the words and speech of the heavens and the skies go?	Their words go out over all the earth, to the end of the world. 	Psalms 19:4
19679	What is the sun like?	The sun is like a bridegroom, and like a strong man. 	Psalms 19:5-6
19680	What does the law of Yahweh do?	The law of Yahweh restores the soul. 	Psalms 19:7
19681	What do the instructions of Yahweh do?	They make the heart joyful. 	Psalms 19:8-9
19682	How do the righteous decrees of Yahweh compare to gold?	They are of greater value than gold, even much more than much find gold. 	Psalms 19:10
19683	What do the righteous decrees of Yahweh do for Yahweh's servant?	By them his servant is warned, they cause him to obey and receive great reward. 	Psalms 19:11
19684	From what does David ask to be cleansed?	He asks to be cleansed from hidden faults. 	Psalms 19:12
19685	What happens when the servant does not let his arrogant sins rule over him?	He will be perfect and innocent from many transgressions. 	Psalms 19:13
19686	What does David want to be acceptable in Yahweh's sight.	David wants the words of his mouth and the thoughts of his heart to be acceptable in Yahweh's sight. 	Psalms 19:14
19687	From where does David want God to send help and support?	He asks that Yahweh send help from the sanctuary and support from Zion. 	Psalms 20:2
19688	What does David want Yahweh to call to mind and to accept?	David asks that Yahweh call to mind all of the offerings and accept their burnt sacrifices. 	Psalms 20:3-4
19689	In what does David say they will rejoice?	David says they will rejoice in Yahweh's salvation. 	Psalms 20:5
19690	Who does David say that Yahweh will rescue?	David knows that Yahweh will rescue his anointed. 	Psalms 20:6
19691	In what do other people trust?	Some trust in chariots and others in horses. 	Psalms 20:7-9
19692	In what does the king rejoice?	He rejoices in Yahweh's strength and in the salvation Yahweh provides. 	Psalms 21:1
19693	What has Yahweh done for the king?	Yahweh has given the king his heart's desire and has not held back the request of his lips. 	Psalms 21:2
19694	What has Yahweh brought to the king and placed on his head?	He has brought the king rich blessings and placed a crown of purest gold on his head. 	Psalms 21:3
19695	What did Yahweh give the king after the king asked for it?	Yahweh gave the king life and long days forever and ever. 	Psalms 21:4
19696	Why is the king's glory great?	His glory is great because of Yahweh's victory. 	Psalms 21:5-6
19697	Why will the king not be moved?	He will not be moved because he trusts in Yahweh through the Most High's covenant faithfulness. 	Psalms 21:7
19698	Who will the hand of Yahweh seize?	His hand will seize all the enemies who hate Yahweh. 	Psalms 21:8
19699	What will Yahweh do to his enemies?	He will burn them up, and they will be consumed in his wrath. 	Psalms 21:9
19700	What will Yahweh do to the offspring of his enemies?	He will destroy their offspring and their descendants. 	Psalms 21:10
19701	Why will Yahweh destroy his enemies?	He will destroy them because they intended evil against him. 	Psalms 21:11
19702	Why will the plot of Yahweh's enemies not succeed?	It will not succeed because Yahweh will turn them back and draw his bow against them. 	Psalms 21:12
19703	How will the people exalt Yahweh?	They will sing and praise his power. 	Psalms 21:13
19704	What is David asking God?	David is asking why God has abandoned him, why he is so far from David. 	Psalms 22:1
19705	What does David do in the daytime and at night?	David cries out in the daytime and at night David is not silent. 	Psalms 22:2
19706	How does David refer to God?	David refers to God as Holy, sitting as king with the praises of Isreal. 	Psalms 22:3
19707	What did David's ancestors do and how did God respond?	They trusted in God, he rescued them, and they were not disappointed. 	Psalms 22:4
19708	What did David's ancestors do and how did God respond?	They trusted in God, he rescued them, and they were not disappointed. 	Psalms 22:5
19709	How does David describe himself?	David says he is a worm and not a man, a disgrace to humanity and despised by the people. 	Psalms 22:6-7
19710	What do the people that taunt and mock David say to him?	They say, "He trusts in Yahweh; let Yahweh rescue him." 	Psalms 22:8
19711	How long has David trusted God?	David trusted Yahweh when he was on his mother's breasts and since he was in his mother's womb. 	Psalms 22:9
19712	How long has David trusted God?	David trusted Yahweh when he was on his mother's breasts and since he was in his mother's womb. 	Psalms 22:10
19713	What is David asking God to do for him?	He is asking God to not be far away from him because trouble is near and there is no one to help. 	Psalms 22:11
19714	What is surrounding David like a roaring lion?	Many strong bulls of Bashan surround him with mouths wide open against him. 	Psalms 22:12
19715	What is surrounding David like a roaring lion?	Many strong bulls of Bashan surround him with mouths wide open against him. 	Psalms 22:13
19716	How does David describe himself?	He says he is being poured out like water, all his bones are dislocated, his heart is like wax, his strength has dried up, his tongue sticks to the roof of his mouth. 	Psalms 22:14
19717	How does David describe himself?	He says he is being poured out like water, all his bones are dislocated, his heart is like wax, his strength has dried up, his tongue sticks to the roof of his mouth. 	Psalms 22:15
19718	What has surrounded David and encircled him?	Dogs have surrounded him and a company of evildoers encircled him, having pierced his hands and feet. 	Psalms 22:16-17
19719	What was done to the garments and the clothes?	The garments were divided and lots were cast for the clothes. 	Psalms 22:18
19720	What does David request of Yahweh?	He requests Yahweh to not be far away. 	Psalms 22:19
19721	From what does David want to be rescued and saved?	He wants his soul rescued from the sword, his precious life from the paws of the dogs, the horns of the wild oxen, and be saved from the lion's mouth. 	Psalms 22:20
19722	From what does David want to be rescued and saved?	He wants his soul rescued from the sword, his precious life from the paws of the dogs, the horns of the wild oxen, and be saved from the lion's mouth. 	Psalms 22:21
19723	What will David declare to his brothers and where will he praise Yahweh?	He will declare Yahweh's name to his brothers and praise him in the midst of the assembly. 	Psalms 22:22
19724	Who should praise, honor, and stand in awe of Yahweh?	All who fear Yahweh, all descendants of Jacob, and all descendants of Israel should praise, honor, and stand in awe of him. 	Psalms 22:23
19725	When did Yahweh hear the afflicted one?	He heard the afflicted one when he cried to him. 	Psalms 22:24
19726	Where will David praise and fulfill his vows?	He will praise Yahweh in the great assembly and fulfill his vows before those who fear Yahweh. 	Psalms 22:25
19727	Who will eat, be satisfied, and praise Yahweh?	The oppressed will eat, be satisifed and those who seek Yahweh will praise him. 	Psalms 22:26
19728	What will all the peoples of the earth and what will the famiies of the nations do?	The peoples of the earth will remember and turn to Yahweh and all the families of the nations will bow down before him. 	Psalms 22:27
19729	Over what does Yahweh rule?	Yahweh rules over the nations. 	Psalms 22:28
19730	Who will bow before Yahweh?	All those who are descending into the dust, who cannot preserve their own souls, will bow before him. 	Psalms 22:29
19731	What will future generations do?	They will come and tell to a people not yet born what he has done. 	Psalms 22:30
19732	What will future generations do?	They will come and tell to a people not yet born what he has done. 	Psalms 22:31
19733	Who is David's shepherd?	David's shepherd is Yahweh. 	Psalms 23:1
19734	Where does Yahweh make David lie down?	Yahweh makes David lie down in green pastures. 	Psalms 23:2
19735	What does Yahweh restore?	Yahweh restores David's soul. 	Psalms 23:3
19736	When David walks through a valley of darkest shadow, who is with him?	Yahweh is with David. 	Psalms 23:4
19737	What does Yahweh prepare before David?	Yahweh prepares a table in the presence of David's enemies. 	Psalms 23:5
19738	What will pursue David all the days of his life?	Goodness and covenant faithfulness will pursue David. 	Psalms 23:6
19739	Who founded the earth?	Yahweh founded it upon the seas and established it on the rivers. 	Psalms 24:1-2
19740	Who will ascend the mountain of Yahweh and stand in Yahweh's holy place?	Those who have clean hands and a pure heart; who have not lifted up their soul to what is false, and who have not sworn deceitfully will ascend Yahweh's mountain and stand in his holy place. 	Psalms 24:3
19741	Who will ascend the mountain of Yahweh and stand in Yahweh's holy place?	Those who have clean hands and a pure heart; who have not lifted up their soul to what is false, and who have not sworn deceitfully will ascend Yahweh's mountain and stand in his holy place. 	Psalms 24:4
19742	Who will receive a blessing from Yahweh?	The generation of those who seek him, those who seek the face of the God of Jacob, will receive a blessing. 	Psalms 24:5
19743	Who will receive a blessing from Yahweh?	The generation of those who seek him, those who seek the face of the God of Jacob, will receive a blessing. 	Psalms 24:6
19744	Why are the gates to be lifted up?	So that the King of glory may come in. 	Psalms 24:7-10
19745	For what does David ask God?	David asks God to not let him be humiliated, and to not let his enemies rejoice over him. 	Psalms 25:2-3
19746	What does David ask Yahweh to make known to him?	David requests Yahweh to make known to him Yahweh's ways. 	Psalms 25:4
19747	What does David ask Yahweh to make known to him?	David requests Yahweh to make known to him Yahweh's ways. 	Psalms 25:5
19748	What does David ask Yahweh to call to mind?	David asks Yahweh to call to mind his acts of compassion and of covenant faithfulness, but not to think about the sins of David's youth or his rebelliousness. 	Psalms 25:6
19749	What does David ask Yahweh to call to mind?	David asks Yahweh to call to mind his acts of compassion and of covenant faithfulness, but not to think about the sins of David's youth or his rebelliousness. 	Psalms 25:7
19750	What does Yahweh do because he is good and upright?	He teaches sinners the way, guides the humble with justice, and teaches the humble his way. 	Psalms 25:8
19751	What does Yahweh do because he is good and upright?	He teaches sinners the way, guides the humble with justice, and teaches the humble his way. 	Psalms 25:9
19752	From what are the paths of Yahweh made?	They are made from covenant faithfulness and trustworthiness. 	Psalms 25:10
19753	Why should Yahweh pardon David's sin?	He should pardon David for the sake of Yahweh's name. 	Psalms 25:11
19754	What will Yahweh do for the man who fears Yahweh?	The Lord will instruct him in the way he should choose. 	Psalms 25:12
19755	What will Yahweh do for the man who fears Yahweh?	The Lord will instruct him in the way he should choose. 	Psalms 25:13
19756	What does Yahweh do for those who honor him?	He gives them his friendship and makes his covenant known to them. 	Psalms 25:14
19757	Why does David always keep his eyes on Yahweh?	Because Yahweh will free David's feet from the net. 	Psalms 25:15
19758	When David is alone and afflicted, what does he request of Yahweh?	David asks Yahweh to turn toward him and have mercy on him. 	Psalms 25:16
19759	When David's heart is troubled what does he ask of Yahweh?	David asks Yahweh to see his affliction and his toils, to forgive his sins, and to see his enemies who hate him and are cruel to him. 	Psalms 25:17
19760	When David's heart is troubled what does he ask of Yahweh?	David asks Yahweh to see his affliction and his toils, to forgive his sins, and to see his enemies who hate him and are cruel to him. 	Psalms 25:18
19761	When David's heart is troubled what does he ask of Yahweh?	David asks Yahweh to see his affliction and his toils, to forgive his sins, and to see his enemies who hate him and are cruel to him. 	Psalms 25:19
19762	Why will David not be humiliated?	Because he takes refuge in Yahweh. 	Psalms 25:20-21
19763	From what does David ask God to rescue Israel?	He asks God to rescue Israel from all of its troubles. 	Psalms 25:22
19764	How does David say that he has walked?	David says he has walked with integrity and has trusted in Yahweh without wavering. 	Psalms 26:1
19765	What does David ask Yahweh to examine and test?	He asks Yahweh to test the purity of his inner parts and heart. 	Psalms 26:2
19766	What is before David's eyes?	Yahweh's covenant faithfulness is before David's eyes. 	Psalms 26:3
19767	With whom does David not associate or mingle?	Davied does not associate with deceitful people or mingle with dishonest people. 	Psalms 26:4
19768	What does David hate?	David hates the assembly of evildoers. 	Psalms 26:5
19769	What does David do as he goes around Yahweh's altar?	He sings a loud song of praise and reports all of Yahweh's wonderful deeds. 	Psalms 26:6
19770	What does David do as he goes around Yahweh's altar?	He sings a loud song of praise and reports all of Yahweh's wonderful deeds. 	Psalms 26:7
19771	How does David feel about the house where Yahweh lives?	He loves the house where Yahweh lives. 	Psalms 26:8
19772	What does David asking Yahweh not to do?	David asks Yahweh not to sweep his soul away with the sinners, or his life with bloodthirsty men. 	Psalms 26:9-10
19773	How does David say that he will walk?	David says that he will walk in integrity. 	Psalms 26:11
19774	Where does David's foot stand and where will he bless Yahweh?	His foot stands on level ground and he will bless Yahweh in the assemblies. 	Psalms 26:12
19775	Why should David not fear anyone?	David should not fear anyone since Yahweh is his light, his salvation, and his life's refuge. 	Psalms 27:1
19776	What happened when evildoers drew near to David?	His adversaries and enemies stumbled and fell. 	Psalms 27:2
19777	In what situations will David not fear but rather remain confident?	His heart will not fear even though an army encamps against him and war rises up against him. 	Psalms 27:3
19778	What has David asked of Yahweh?	David has asked that he may live in the house of Yahweh all the days of his life, to see the beauty of Yahweh, and to meditate in his temple. 	Psalms 27:4
19779	What will Yahweh do for David in the day of trouble?	Yahweh will shelter him in his booth, hide him in the cover of his tent, and lift him high on a rock. 	Psalms 27:5
19780	How will David offer worship to Yahweh?	David will offer sacrifices of joy, sing, and make songs to Yahweh. 	Psalms 27:6
19781	What does David ask Yahweh to do?	David asks Yahweh to hear his voice, to have mercy on him, and to answer him. 	Psalms 27:7
19782	What does David's heart say about Yahweh?	David's heart says, "Seek his face!" 	Psalms 27:8
19783	What does David ask Yahweh not to do?	David asks Yahweh not to hide his face from him, not to strike his servant in anger, nor to forsake or abandon him. 	Psalms 27:9
19784	In what situation will Yahweh take David in?	Yahweh will take David in even if his father and mother forsake him. 	Psalms 27:10
19785	How does David ask Yahweh to do because of David's enemies?	David asks Yahweh to teach him Yahweh's ways and to lead him on a level path because of his enemies. 	Psalms 27:11
19786	Why does David ask that Yahweh not give his soul to his enemies?	David asks that Yahweh not give his soul to his enemies because false witnesses have risen up against him, and they breathe out violence. 	Psalms 27:12
19787	What did David believe that helped him?	He believed that he would see the goodness of Yahweh in the land of the living. 	Psalms 27:13
19788	What does David encourage the people to do?	David encourages the people to wait for Yahweh, to be strong, and to let their heart be courageous. 	Psalms 27:14
19789	To whom does David cry out?	David cries out to Yahweh, his rock. 	Psalms 28:1
19790	Who does David want to hear the sound of his pleading?	David wants Yahweh to hear the sound of his pleading. 	Psalms 28:2
19791	What does David ask Yahweh not to do?	David asks Yahweh not to drag him away with the wicked. 	Psalms 28:3
19792	What does David ask Yahweh to give the wicked?	David asks Yahweh to give them what their deeds deserve and to repay them for what their wickedness demands. 	Psalms 28:4
19793	What does the wicked not understand?	The wicked does not understand the ways of Yahweh or the work of his hands. 	Psalms 28:5
19794	What has Yahweh heard?	Yahweh has heard the sound of David's pleading. 	Psalms 28:6
19795	Who is David's strength and shield?	Yahweh is David's strength and shield. 	Psalms 28:7
19796	Who is the strength of his people?	Yahweh is the strength of his people. 	Psalms 28:8
19797	Who does David want Yahweh to save and bless?	David wants Yahweh to save his people and bless his inheritance, 	Psalms 28:9
19798	Who does David say should acknowledge Yahweh has glory and power?	David says the sons of the mighty should acknowledge Yahweh's glory and power. 	Psalms 29:1
19799	What does the name of Yahweh deserve?	Yahweh's name deserves honor. 	Psalms 29:2
19800	To what does David compares the voice of Yahweh?	He compares the voice of Yahweh to thunder. 	Psalms 29:3-4
19801	What does Yahweh break in pieces?	Yahweh breaks in pieces the cedars of Lebanon. 	Psalms 29:5-7
19802	What does Yahweh shake?	Yahweh shakes the wilderness of Kadesh. 	Psalms 29:8
19803	What does everyone in Yahweh's temple say?	Everyone in his temple says, "Glory!" 	Psalms 29:9
19804	How long will Yahweh sit as king?	Yahweh sits as king forever. 	Psalms 29:10
19805	What two things does Yahweh give his people?	Yahweh gives strength to his people and blesses his people with peace. 	Psalms 29:11
19806	Why does David exalt Yahweh?	He exalts Yahweh because Yahweh has raised David up and not allowed David's enemies to rejoice over him. 	Psalms 30:1
19807	What did Yahweh do when David cried for help?	Yahweh healed David. 	Psalms 30:2
19808	From where did Yahweh bring up David's soul?	Yahweh brought up David's soul from sheol. 	Psalms 30:3
19809	What are the faithful told to do in remembrance of Yahweh's holiness?	The faithful are told to sing praise to Yahweh and to give him thanks. 	Psalms 30:4
19810	How long does Yahweh's anger and favor last?	Yahweh's anger is only for a moment, but his favor is for a lifetime. 	Psalms 30:5
19811	What did David say in confidence?	David said, "I will never be shaken." 	Psalms 30:6
19812	What happened to David when Yahweh hid his face?	When Yahweh hid his face, David was troubled. 	Psalms 30:7
19813	What did David seek from the Lord?	David sought favor from the Lord. 	Psalms 30:8-9
19814	What things is David asking Yahweh to do for him?	David is asking Yahweh to hear him, to have mercy on him, and be his helper. 	Psalms 30:10
19815	What has Yahweh done for David?	Yahweh has turned David's mourning into dancing, removed his sackcloth and clothed him with gladness. 	Psalms 30:11
19816	What will David's honored heart do?	David's heart will sing praise to Yahweh and not be silent. He will give thanks to Yahweh his God forever. 	Psalms 30:12
19817	In whom does David take refuge?	David takes refuge in Yahweh. 	Psalms 31:1
19818	What does David ask Yahweh to become for David?	He asks Yahweh to become his rock of refuge and a stronghold to save him. 	Psalms 31:2
19819	Why does David ask God to lead and guide him?	David asks God to lead and guide him for Yahweh's name sake. 	Psalms 31:3
19820	Why does David believe that Yahweh will pluck him out of the net his enemies have hidden for him?	Yahweh will pluck him out of the net because Yahweh is his refuge. 	Psalms 31:4
19821	Into what does David entrust his spirit?	David entrusts his spirit into the hands of Yahweh. 	Psalms 31:5
19822	Who does David hate?	He hates those who serve worthless idols. 	Psalms 31:6
19823	Why will David be glad and rejoice in Yahweh's covenant faithfulness?	David will be glad and rejoice because Yahweh has seen his affliction and known the distress of his soul. 	Psalms 31:7
19824	Where has Yahweh set David's feet?	Yahweh has set David's feet in a wide open place. 	Psalms 31:8
19825	Why does David want Yahweh to have mercy upon him?	He wants Yahweh to have mercy upon him because he is in distress and his eyes grow weary with grief. 	Psalms 31:9
19826	Why does David's strength fail and his bones waste away?	His strength fails and his bones waste away because of his sin. 	Psalms 31:10
19827	How did people respond to David's situation?	People disdain him, his neighbors are appalled and horrified at his situation, and those who see him in the street run from him. 	Psalms 31:11
19828	To what does David compare himself?	David says he is as forgotten as a dead man whom no thinks about, and that he is like a broken pot. 	Psalms 31:12
19829	Why is David so troubled?	He has heard the whispering of many, terrifying news from every side as they plot together to take away his life. 	Psalms 31:13-14
19830	From whom does David ask God to rescue him?	He asks God to rescue him from his enemies and from those who pursue him. 	Psalms 31:15
19831	What does David ask God to do for his servant?	David asks God to make his face shine upon David, and to save him in Yahweh's covenant faithfulness. 	Psalms 31:16
19832	What does David ask God to not let happen to David?	David asks Yahweh to not to let him be humiliated. 	Psalms 31:17
19833	Why should lying lips be silenced?	They speak against the righteous defiantly with arrogance and contempt. 	Psalms 31:18
19834	For whom is God's goodness stored up?	Yahweh's goodness is stored up for those who revere him. 	Psalms 31:19
19835	From what does Yahweh hide those who revere him?	He hides them from the plots of men and from the violence of tongues. 	Psalms 31:20
19836	Why is Yahweh to be blessed?	Yahweh showed David his marvelous covenant faithfulness when David was in a beseiged city. 	Psalms 31:21
19837	What did Yahweh do for David even though David said that he was cut off from God's eyes?	Yahweh heard his plea for help when David cried to him. 	Psalms 31:22
19838	What does Yahweh do for his faithful followers?	Yahweh protects the faithful but pays back the arrogant in full. 	Psalms 31:23
19839	How advice does David give to those who trust in Yahweh?	He tells them to be strong and confident. 	Psalms 31:24
19840	How does Yahweh bless people?	Yahweh blesses people by forgiving their transgression and covering their sin. 	Psalms 32:1-2
19841	What happened to David when he remained silent?	His bones wasted away and he groaned all day long. God's hand was heavy on David and his strenghth withered. 	Psalms 32:3
19842	What happened to David when he remained silent?	His bones wasted away and he groaned all day long. God's hand was heavy on David and his strenghth withered. 	Psalms 32:4
19843	What did God do when David acknowledged his sin and no longer hid his iniquity?	God forgave the guilt of David's sin. 	Psalms 32:5
19844	What should godly people do?	They should pray to Yahweh at a time of great distress. 	Psalms 32:6
19845	With what does God surround David?	God surrounds him with the songs of victory. 	Psalms 32:7-9
19846	What will happen to the one who trusts in Yahweh?	Yahweh's covenant faithfulness will surrounding him. 	Psalms 32:10
19847	What should the righteous and the upright in heart do for Yahweh?	The upright in heart should rejoice and shout for joy. 	Psalms 32:11
19848	In whom does the writer say the righteous should rejoice?	The righteous should rejoice in Yahweh. 	Psalms 33:1
19849	With what instrument does the writer say to give thanks to Yahweh?	The writer says to give thanks to Yahweh with the harp. 	Psalms 33:2-3
19850	How does the writer describe Yahweh's word and actions?	Yahweh's word is upright and everything he does is fair. 	Psalms 33:4
19851	What does Yahweh love?	Yahweh loves righteousness and justice. 	Psalms 33:5
19852	What was made by the word of Yahweh?	The heavens were made by the word of Yahweh. 	Psalms 33:6
19853	What does the writer say Yahweh does to the waters of the sea?	He gathers the waters of the sea together like a heap. 	Psalms 33:7
19854	What does the writer say all the inhabitants of the world should do?	All the inhabitants of the world should stand in awe of Yahweh. 	Psalms 33:8-10
19855	How long will Yahweh's plans stand?	The plans of Yahweh stand forever, the plans of his heart for all generations. 	Psalms 33:11-13
19856	On whom does Yahweh look down from where he lives?	Yahweh looks down on all the people, on all who live on the earth. 	Psalms 33:14-17
19857	On whom is Yahweh's eye?	Yahweh's eye is on those who fear him. 	Psalms 33:18-20
19858	Why should our hearts rejoice in Yahweh?	Our hearts should rejoice in him, for we trust in his holy name. 	Psalms 33:21-22
19859	How often will David praise Yahweh?	David will praise Yahweh at all times. 	Psalms 34:1
19860	Who does David want to hear when he praises Yahweh?	David wants the oppressed to hear it and rejoice. 	Psalms 34:2
19861	What is David asking people to do with him?	David is asking them to praise Yahweh and lift up his name together. 	Psalms 34:3
19862	What happened when David sought Yahweh?	Yahweh answered David and gave him victory over all his fears. 	Psalms 34:4
19863	What happens to those who look to Yahweh?	They are radiant and their faces are not ashamed. 	Psalms 34:5
19864	What did Yahweh do when he heard this oppressed man cry?	Yahweh saved him from all his troubles. 	Psalms 34:6
19865	What does the angel of Yahweh do when he camps around those who fear him?	The angel of Yahweh rescues them. 	Psalms 34:7
19866	Who is the man who is blessed?	The man is blessed who takes refuge in Yahweh. 	Psalms 34:8
19867	What to Yahweh's chosen people who fear him?	There is no lack for those who fear Yahweh. 	Psalms 34:9
19868	What does David say about those who seek Yahweh?	Those who seek Yahweh will not lack anything good. 	Psalms 34:10
19869	What does David say to the children?	David says, "Come, listen and I will teach you the fear of Yahweh." 	Psalms 34:11-12
19870	What does David say a man who desire life should do?	David says he should keep from speaking evil, keep from speaking lies, turn from evil, do good and seek peace and promote it. 	Psalms 34:13
19871	What does David say a man who desire life should do?	David says he should keep from speaking evil, keep from speaking lies, turn from evil, do good and seek peace and promote it. 	Psalms 34:14
19872	How does Yahweh respond to the cry of the righteous?	His eyes are on the righteous and his ears are directed toward their cry. 	Psalms 34:15
19873	What will Yahweh do to the evildoers, whom his is against?	He will wipe out their memory from the earth. 	Psalms 34:16
19874	What does Yahweh do when the righteous cry out?	He hears and rescues them from all their troubles. 	Psalms 34:17
19875	To Whom is Yahweh near?	He is near the brokenhearted. 	Psalms 34:18
19876	What happens to the righteous who have many troubles?	Yahweh gives him victory over them all and protects all his bones. 	Psalms 34:19
19877	What happens to the righteous who have many troubles?	Yahweh gives him victory over them all and protects all his bones. 	Psalms 34:20
19878	What will happen to the wicked?	Evil will kill the wicked. 	Psalms 34:21
19879	What does Yahweh do for his servants who take refuge in him?	He redeems their souls and they will not be condemned. 	Psalms 34:22
19880	What does David ask Yahweh to do for him?	David asks Yahweh to work against those who work against him, and fight against those who fight against him. 	Psalms 35:1
19881	What weapons does David ask Yahweh to use to help him?	He asks Yahweh to use his small and large shield, his spear, and his battle axe. 	Psalms 35:2
19882	What weapons does David ask Yahweh to use to help him?	He asks Yahweh to use his small and large shield, his spear, and his battle axe. 	Psalms 35:3
19883	What does David want to happen to those who plan to harm him?	David wants them to be turned back and confounded. 	Psalms 35:4
19884	Who does David want to drive away his enemies?	He wants the angel of Yahweh to drive them away. 	Psalms 35:5-6
19885	What did David's enemies do without cause?	They set their net and dug a pit for David. 	Psalms 35:7
19886	What does David want to happen to his enemies?	David wants destruction to overtake them by surprise, for them to be caught in their own nets, and for them to fall to their destruction. 	Psalms 35:8
19887	In what will David rejoice?	He will rejoice in Yahweh's salvation. 	Psalms 35:9-10
19888	Why is David sorrowful?	He is sorrowful because unrighteous witnesses rise up to accuse him falsely, and repay him evil for good. 	Psalms 35:11
19889	Why is David sorrowful?	He is sorrowful because unrighteous witnesses rise up to accuse him falsely, and repay him evil for good. 	Psalms 35:12
19890	How did David respond to his enemies' troubles?	David wore sackcloth, fasted for them, went about in grief and bent down in mourning for them. 	Psalms 35:13
19891	How did David respond to his enemies' troubles?	David wore sackcloth, fasted for them, went about in grief and bent down in mourning for them. 	Psalms 35:14
19892	How did the enemies respond to David's troubles?	They rejoiced, gathered against him, tore at him, taunted him, and gnashed at him with their teeth. 	Psalms 35:15
19893	How did the enemies respond to David's troubles?	They rejoiced, gathered against him, tore at him, taunted him, and gnashed at him with their teeth. 	Psalms 35:16
19894	When will David thank Yahweh in the assembly?	He will thank Yahweh when his soul is rescued from their destructive attacks. 	Psalms 35:17
